iIdx,jIdx,sim
20554,26420,0.142857
20554,18541,0.142857
20554,9743,0.142857
20554,22574,0.137931
13517,9286,0.145833
13517,14505,0.122449
13517,22937,0.097561
13517,26317,0.090909
13517,11018,0.089552
13517,23123,0.089286
13517,20704,0.086207
13517,11006,0.085714
13517,20685,0.085714
13517,16425,0.081081
13517,22957,0.081081
13517,19307,0.081081
13517,13503,0.078947
13517,16453,0.078947
13517,26502,0.078947
13517,20714,0.078947
13517,22525,0.078947
13517,28430,0.076923
13517,22915,0.076923
13517,26671,0.076923
10845,17123,0.090226
10845,3715,0.089186
10845,14566,0.089041
10845,13366,0.068736
10845,10631,0.067204
10845,9922,0.061203
10845,3596,0.059767
10845,3968,0.059471
10845,4676,0.058252
10845,10760,0.058228
10845,12026,0.057576
10845,3978,0.057096
10845,10246,0.056701
10845,13237,0.055556
10845,22185,0.054054
10845,10403,0.054054
10845,10626,0.053985
10845,3371,0.053846
10845,9324,0.053279
10845,6231,0.052342
15613,16049,0.078652
15613,9040,0.070755
15613,21122,0.062857
15613,15910,0.061475
15613,9725,0.061008
15613,16151,0.060345
15613,19251,0.058824
15613,12613,0.058708
15613,11056,0.058376
15613,13827,0.058000
15613,6739,0.056338
15613,12751,0.055556
15613,13180,0.054348
15613,13992,0.053922
15613,9187,0.052326
15613,6691,0.051919
15613,13526,0.051515
15613,9995,0.051471
15613,15557,0.051181
15613,19093,0.051136
28444,6032,0.018868
28444,9982,0.004267
28444,6646,0.003356
28444,5225,0.002368
28444,5773,0.002209
28444,2556,0.001827
28444,5508,0.001678
28444,3284,0.001575
28444,1514,0.001490
